X1,Y1,X2,Y2
107,178,164,178
259,172,293,172
108,175,163,175
108,172,155,172
160,172,180,172
111,138,114,138
134,137,181,137
7,184,35,184
0,181,44,181
262,178,293,178
42,153,42,130
64,77,82,59
275,175,293,175
202,49,209,54
217,59,219,61
260,157,260,128
102,48,108,45
138,37,162,37
254,107,255,110
0,178,42,178
187,146,187,138
70,72,86,56
240,81,248,93
57,88,62,80
117,148,132,138
47,110,52,96
218,59,239,79
170,135,186,135
171,39,174,39
46,171,47,176
87,56,93,53
103,156,103,169
131,38,133,38
187,43,190,44
259,175,274,175
116,42,123,40
187,153,187,147
